"variabel","auc_uden","auc_fald"
"arealanvendelse",0.957750909090909,0.0251545454545454
"dhm",0.970140909090909,0.0127645454545454
"dist_vandloeb",0.978490909090909,0.00441454545454545
"dist_soer",0.980205454545454,0.00270000000000004
"dist_loevtrae",0.980450909090909,0.00245454545454549
